Open time,Open,High,Low,Close,Volume
1548633600000.0,0.009069,0.009144,0.0088,0.009009,198371.75
1548720000000.0,0.00901,0.009132,0.008883,0.00903,128914.68
1548806400000.0,0.00903,0.0092,0.008967,0.009163,125232.5
1548892800000.0,0.009161,0.009299,0.009057,0.009146,159372.58
1548979200000.0,0.009145,0.009659,0.009023,0.00941,226874.74
1549065600000.0,0.009412,0.009972,0.009408,0.009868,224355.5
1549152000000.0,0.009866,0.009959,0.009589,0.009664,246096.21
1549238400000.0,0.009665,0.009949,0.009643,0.00985,184393.99
1549324800000.0,0.009844,0.009964,0.009738,0.009896,182794.94
1549411200000.0,0.009895,0.009941,0.009522,0.009623,204322.62
1549497600000.0,0.009623,0.009832,0.009622,0.009782,113016.01
1549584000000.0,0.009782,0.0121,0.009709,0.011753,856564.87
1549670400000.0,0.011753,0.012678,0.011548,0.01219,644656.41
1549756800000.0,0.012193,0.012999,0.011645,0.012726,429057.54
1549843200000.0,0.012722,0.012789,0.01156,0.011807,391023.44
1549929600000.0,0.011806,0.012256,0.011666,0.012089,290608.96
1550016000000.0,0.01209,0.012227,0.011289,0.011528,244280.44
1550102400000.0,0.011527,0.011709,0.011303,0.011488,166154.27
1550188800000.0,0.01149,0.012204,0.011467,0.011823,222489.01
1550275200000.0,0.011819,0.012218,0.011715,0.01199,212202.14
1550361600000.0,0.011995,0.0122,0.01181,0.011972,178616.53
1550448000000.0,0.011967,0.01258,0.011805,0.01227,346860.09
1550534400000.0,0.012267,0.01245,0.012,0.012064,248507.42
1550620800000.0,0.012072,0.01314,0.011939,0.012962,353740.13
1550707200000.0,0.01296,0.013004,0.012222,0.012419,250196.01
1550793600000.0,0.012425,0.012591,0.012245,0.012422,203315.2
1550880000000.0,0.012422,0.012748,0.01221,0.012483,219597.84
1550966400000.0,0.012482,0.012756,0.011385,0.011669,443608.12
1551052800000.0,0.011672,0.012159,0.011575,0.011859,289780.55
1551139200000.0,0.011857,0.011973,0.011598,0.01175,172924.02
1551225600000.0,0.011756,0.011884,0.011512,0.011831,147923.62
1551312000000.0,0.011831,0.012091,0.011796,0.011965,180632.15
1551398400000.0,0.011962,0.012725,0.011909,0.012307,236077.34
1551484800000.0,0.012305,0.0129,0.012278,0.012696,226674.81
1551571200000.0,0.012696,0.01281,0.012457,0.012571,149995.13
1551657600000.0,0.012575,0.012616,0.012127,0.012319,194445.84
1551744000000.0,0.012322,0.014071,0.012224,0.013617,501466.1
1551830400000.0,0.013623,0.014591,0.013402,0.01434,478913.88
1551916800000.0,0.014335,0.015155,0.013983,0.014644,545783.04
1552003200000.0,0.014646,0.014768,0.0141,0.014386,335870.73
1552089600000.0,0.014388,0.015172,0.01436,0.014651,369634.7
1552176000000.0,0.014655,0.01473,0.014359,0.01446,179690.04
1552262400000.0,0.014462,0.014595,0.01395,0.014163,201007.61
1552348800000.0,0.01416,0.014633,0.01396,0.014571,144816.55
1552435200000.0,0.014571,0.014602,0.01412,0.014301,162700.47
1552521600000.0,0.0143,0.014866,0.013951,0.014424,208200.19
1552608000000.0,0.014423,0.015033,0.014416,0.014902,233035.11
1552694400000.0,0.014902,0.01569,0.01488,0.015279,315935.39
1552780800000.0,0.01528,0.015346,0.015053,0.015186,166344.49
1552867200000.0,0.015184,0.015506,0.014691,0.014839,216838.64
1552953600000.0,0.014839,0.01498,0.014703,0.014819,148299.53
1553040000000.0,0.014818,0.015031,0.01432,0.01491,160140.93
1553126400000.0,0.014918,0.014963,0.014531,0.014706,137439.33
1553212800000.0,0.014707,0.014901,0.014601,0.014858,128794.52
1553299200000.0,0.014848,0.01535,0.014797,0.015206,166336.91
1553385600000.0,0.015205,0.01521,0.01482,0.014987,144463.37
1553472000000.0,0.014987,0.015175,0.01472,0.014998,141400.92
1553558400000.0,0.015004,0.015048,0.014707,0.014894,123718.58
1553644800000.0,0.014899,0.01528,0.014878,0.015211,166889.8
1553731200000.0,0.015211,0.015222,0.014983,0.015022,102159.27
1553817600000.0,0.015019,0.015117,0.01483,0.014966,116941.85
1553904000000.0,0.014972,0.014972,0.014687,0.01472,90054.06
1553990400000.0,0.014722,0.01479,0.01461,0.014738,84476.49
1554076800000.0,0.014736,0.014778,0.014411,0.014588,94366.17
1554163200000.0,0.014583,0.016036,0.013289,0.015804,533686.06
1554249600000.0,0.015806,0.018939,0.015612,0.017235,942014.76
1554336000000.0,0.017236,0.017864,0.016514,0.017295,406185.9
1554422400000.0,0.017299,0.0179,0.017101,0.017626,210817.24
1554508800000.0,0.017622,0.0189,0.017166,0.018293,281302.41
1554595200000.0,0.018294,0.018562,0.017505,0.017695,186857.29
1554681600000.0,0.017695,0.017857,0.016714,0.016916,215992.28
1554768000000.0,0.016915,0.017222,0.016249,0.01674,155194.13
1554854400000.0,0.016724,0.017,0.016466,0.016608,124859.51
1554940800000.0,0.01661,0.016623,0.01501,0.015733,265983.29
1555027200000.0,0.015731,0.015875,0.01531,0.01554,126507.68
1555113600000.0,0.015539,0.015929,0.015084,0.015382,97322.6
1555200000000.0,0.015375,0.016258,0.015177,0.016228,114573.24
1555286400000.0,0.016232,0.016388,0.015007,0.015535,180752.16
1555372800000.0,0.015536,0.01575,0.015371,0.015509,113380.69
1555459200000.0,0.015517,0.015598,0.015121,0.015142,91538.66
1555545600000.0,0.015142,0.015904,0.015138,0.015533,139908.77
